Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Control_1 Spectral Count	Control_2 Spectral Count	Control_3 Spectral Count	Control_4 Spectral Count	Control_5 Spectral Count	Tratamiento_1 Spectral Count	Tratamiento_2 Spectral Count	Tratamiento_3 Spectral Count	Tratamiento_4 Spectral Count	Tratamiento_5 Spectral Count	Control_1 Unique Spectral Count	Control_2 Unique Spectral Count	Control_3 Unique Spectral Count	Control_4 Unique Spectral Count	Control_5 Unique Spectral Count	Tratamiento_1 Unique Spectral Count	Tratamiento_2 Unique Spectral Count	Tratamiento_3 Unique Spectral Count	Tratamiento_4 Unique Spectral Count	Tratamiento_5 Unique Spectral Count	Control_1 Total Spectral Count	Control_2 Total Spectral Count	Control_3 Total Spectral Count	Control_4 Total Spectral Count	Control_5 Total Spectral Count	Tratamiento_1 Total Spectral Count	Tratamiento_2 Total Spectral Count	Tratamiento_3 Total Spectral Count	Tratamiento_4 Total Spectral Count	Tratamiento_5 Total Spectral Count	Control_1 Intensity	Control_2 Intensity	Control_3 Intensity	Control_4 Intensity	Control_5 Intensity	Tratamiento_1 Intensity	Tratamiento_2 Intensity	Tratamiento_3 Intensity	Tratamiento_4 Intensity	Tratamiento_5 Intensity	Control_1 MaxLFQ Intensity	Control_2 MaxLFQ Intensity	Control_3 MaxLFQ Intensity	Control_4 MaxLFQ Intensity	Control_5 MaxLFQ Intensity	Tratamiento_1 MaxLFQ Intensity	Tratamiento_2 MaxLFQ Intensity	Tratamiento_3 MaxLFQ Intensity	Tratamiento_4 MaxLFQ Intensity	Tratamiento_5 MaxLFQ Intensity	Indistinguishable Proteins
sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	HACL2	632	Homo sapiens	1:Experimental evidence at protein level	2-hydroxyacyl-CoA lyase 2	1.0	0.999	16	229	229	229	23	19	19	23	23	22	29	24	21	26	23	19	19	23	23	22	29	24	21	26	23	19	19	23	23	22	29	24	21	26	679479.0	705615.4	637076.9	633391.56	635952.06	592524.94	651617.44	638779.8	669423.5	687625.25	99683.94	101571.734	103959.22	102899.32	106794.2	94037.54	106519.93	103836.04	98239.26	102851.55	
sp|A1X283|SPD2B_HUMAN	A1X283	SPD2B_HUMAN	SH3PXD2B	911	Homo sapiens	1:Experimental evidence at protein level	SH3 and PX domain-containing protein 2B	1.0	0.999	7	59	59	59	7	7	6	4	5	5	6	4	8	7	7	7	6	4	5	5	6	4	8	7	7	7	6	4	5	5	6	4	8	7	159734.64	135469.97	145260.73	130538.89	125472.516	149750.64	118290.31	143271.14	147634.33	135057.56	56397.43	53524.387	52370.445	44679.816	52010.176	53416.38	47650.28	48715.0	51116.934	52911.9	
sp|A1XBS5|CBAR1_HUMAN	A1XBS5	CBAR1_HUMAN	CIBAR1	289	Homo sapiens	1:Experimental evidence at protein level	CBY1-interacting BAR domain-containing protein 1	0.9716	0.999	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0.0	0.0	11203.503	0.0	0.0	6606.7446	0.0	0.0	7927.969	0.0	0.0	0.0	11203.503	0.0	0.0	6606.7446	0.0	0.0	7927.969	0.0	
sp|A2RRP1|NBAS_HUMAN	A2RRP1	NBAS_HUMAN	NBAS	2371	Homo sapiens	1:Experimental evidence at protein level	NBAS subunit of NRZ tethering complex	1.0	0.999	19	111	111	111	10	14	10	12	9	10	11	11	12	12	10	14	10	12	9	10	11	11	12	12	10	14	10	12	9	10	11	11	12	12	218484.97	304262.94	248407.56	213214.69	242606.08	226746.5	254983.55	266596.97	251308.45	264388.5	44116.707	48573.81	48307.938	43750.65	42698.89	42669.055	45261.594	47028.324	48829.426	53175.703	
sp|A2RTX5|SYTC2_HUMAN	A2RTX5	SYTC2_HUMAN	TARS3	802	Homo sapiens	1:Experimental evidence at protein level	Threonine--tRNA ligase 2, cytoplasmic	0.9266	0.9875	2	1	1	25	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	3	3	2	3	3	1	2	3	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A3KMH1|VWA8_HUMAN	A3KMH1	VWA8_HUMAN	VWA8	1905	Homo sapiens	1:Experimental evidence at protein level	von Willebrand factor A domain-containing protein 8	1.0	0.999	8	36	36	36	2	5	5	3	4	2	4	2	4	5	2	5	5	3	4	2	4	2	4	5	2	5	5	3	4	2	4	2	4	5	70287.11	83052.12	83485.32	82997.78	87525.19	45018.12	48672.83	72177.69	80927.984	85921.66	25169.914	29528.068	26366.697	25901.08	26438.625	19023.111	20126.943	19460.855	20137.395	21476.475	
sp|A3KN83|SBNO1_HUMAN	A3KN83	SBNO1_HUMAN	SBNO1	1393	Homo sapiens	1:Experimental evidence at protein level	Protein strawberry notch homolog 1	1.0	0.999	6	9	6	9	0	0	1	0	0	3	1	2	1	1	0	0	1	0	0	2	1	1	1	0	0	0	1	0	0	3	1	2	1	1	64011.797	99845.96	72952.33	73252.1	68070.34	110661.9	46979.742	25265.668	70212.21	42631.62	54034.145	99845.96	53223.55	73252.1	43877.734	71423.68	42599.984	17136.777	59147.785	28180.822	
sp|A4D1E9|GTPBA_HUMAN	A4D1E9	GTPBA_HUMAN	GTPBP10	387	Homo sapiens	1:Experimental evidence at protein level	GTP-binding protein 10	1.0	0.999	4	25	25	25	2	5	4	2	2	3	3	2	1	1	2	5	4	2	2	3	3	2	1	1	2	5	4	2	2	3	3	2	1	1	51338.516	57086.387	59230.434	47619.434	57397.49	33239.246	37842.99	41820.496	39522.293	31669.322	21597.953	22366.26	25055.223	19769.63	23727.027	13570.183	15682.598	17204.127	18669.348	19834.035	
sp|A5A3E0|POTEF_HUMAN	A5A3E0	POTEF_HUMAN	POTEF	1075	Homo sapiens	1:Experimental evidence at protein level	POTE ankyrin domain family member F	1.0	0.999	10	43	30	663	1	4	6	3	5	4	2	6	7	5	0	3	3	3	4	2	2	4	4	5	77	66	65	77	77	73	55	60	68	45	8527.607	15313.205	56753.938	54706.07	21299.777	17904.871	6442.9766	16543.402	22036.412	38777.81	10228.745	5961.5054	14078.307	15690.613	8018.4814	12499.327	21457.025	15070.483	13753.547	18146.318	
sp|A5D8V6|VP37C_HUMAN	A5D8V6	VP37C_HUMAN	VPS37C	355	Homo sapiens	1:Experimental evidence at protein level	Vacuolar protein sorting-associated protein 37C	1.0	0.999	2	28	28	28	3	3	2	3	4	2	4	3	2	2	3	3	2	3	4	2	4	3	2	2	3	3	2	3	4	2	4	3	2	2	44563.96	63091.906	43759.664	37143.152	52314.73	46862.547	44098.453	47549.734	47871.56	63915.875	25120.867	36373.25	25854.336	22019.125	30543.754	26660.934	26148.385	27128.121	28182.408	37508.14	
sp|A5PLL7|PEDS1_HUMAN	A5PLL7	PEDS1_HUMAN	PEDS1	270	Homo sapiens	1:Experimental evidence at protein level	Plasmanylethanolamine desaturase 1	0.9716	0.999	1	4	4	4	0	1	1	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	18338.787	23487.406	25621.432	0.0	26376.135	11715.672	12231.437	15265.63	20856.963	15808.667	18338.787	23487.406	25621.432	0.0	26376.135	11715.672	12231.437	15265.63	20856.963	15808.667	
sp|A5PLN9|TPC13_HUMAN	A5PLN9	TPC13_HUMAN	TRAPPC13	417	Homo sapiens	1:Experimental evidence at protein level	Trafficking protein particle complex subunit 13	0.9716	0.999	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0.0	13946.736	11119.527	11984.68	9070.409	7160.1904	10199.913	10470.584	12091.771	13209.873	0.0	13946.736	11119.527	11984.68	9070.409	7160.1904	10199.913	10470.584	12091.771	13209.873	
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	Homo sapiens	1:Experimental evidence at protein level	CCR4-NOT transcription complex subunit 1	1.0	0.999	27	191	191	191	14	21	22	18	21	17	16	22	20	20	14	21	22	18	21	17	16	22	20	20	14	21	22	18	21	17	16	22	20	20	426961.75	527160.4	528179.1	471038.28	483282.22	428293.06	427255.4	513427.06	477657.56	492619.84	71397.41	70802.98	73426.055	71765.414	73552.86	65073.016	63417.406	69864.58	70742.26	66637.125	
sp|A6NCE7|MP3B2_HUMAN	A6NCE7	MP3B2_HUMAN	MAP1LC3B2	125	Homo sapiens	1:Experimental evidence at protein level	Microtubule-associated protein 1 light chain 3 beta 2	1.0	0.999	2	39	0	39	3	3	3	5	5	3	4	6	3	4	0	0	0	0	0	0	0	0	0	0	3	3	3	5	5	3	4	6	3	4	131504.34	71354.484	141157.78	139186.66	145639.78	77037.96	134965.33	151336.06	64117.773	78612.88	71601.445	71438.47	76680.43	72241.945	76340.3	66377.78	65132.465	73895.234	64193.24	66876.28	sp|Q9GZQ8|MLP3B_HUMAN
sp|A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	321	Homo sapiens	1:Experimental evidence at protein level	Phosphoglycolate phosphatase	1.0	0.999	7	76	76	76	8	5	7	8	9	7	8	8	9	7	8	5	7	8	9	7	8	8	9	7	8	5	7	8	9	7	8	8	9	7	141118.31	113790.46	136261.17	164588.4	128742.47	132793.5	155966.3	141892.67	143414.62	149204.98	33915.797	33256.637	35152.98	43819.42	36320.707	36825.312	40352.777	37126.12	33154.777	33242.824	
sp|A6NDU8|RIMC1_HUMAN	A6NDU8	RIMC1_HUMAN	RIMOC1	294	Homo sapiens	1:Experimental evidence at protein level	RAB7A-interacting MON1-CCZ1 complex subunit 1	1.0	0.999	3	24	24	24	2	4	3	2	3	3	3	1	1	2	2	4	3	2	3	3	3	1	1	2	2	4	3	2	3	3	3	1	1	2	71780.67	90642.16	74104.11	69665.28	91035.28	63688.066	68218.56	59092.16	52844.984	69892.62	59014.348	58449.066	47510.277	67553.2	60232.46	59398.8	52851.9	58628.395	55613.73	51082.746	
sp|A6NFQ2|TCAF2_HUMAN	A6NFQ2	TCAF2_HUMAN	TCAF2	919	Homo sapiens	1:Experimental evidence at protein level	TRPM8 channel-associated factor 2	0.9978	0.999	2	3	3	3	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	9495.716	0.0	0.0	0.0	9644.109	11521.293	6231.3403	0.0	0.0	5920.1196	9495.716	0.0	0.0	0.0	9644.109	11521.293	6231.3403	0.0	0.0	0.0	
sp|A6NHL2|TBAL3_HUMAN	A6NHL2	TBAL3_HUMAN	TUBAL3	446	Homo sapiens	1:Experimental evidence at protein level	Tubulin alpha chain-like 3	1.0	0.999	5	15	15	251	1	2	1	1	1	1	5	1	1	1	1	2	1	1	1	1	5	1	1	1	27	27	26	7	20	35	29	12	35	33	38902.66	41621.992	48405.254	71632.586	74060.8	60763.45	146533.06	71599.664	19196.588	25023.863	38902.66	41621.992	48405.254	65150.402	66135.734	60763.45	135125.94	67956.82	19196.588	25023.863	
sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	Homo sapiens	1:Experimental evidence at protein level	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1.0	0.999	15	99	99	99	7	11	11	10	9	7	11	11	9	13	7	11	11	10	9	7	11	11	9	13	7	11	11	10	9	7	11	11	9	13	440211.12	328238.1	505295.16	494779.06	525715.6	167844.92	389009.44	403998.8	375960.7	414867.66	150321.33	171878.08	166077.08	162407.67	163218.08	131642.7	142988.53	145555.77	159906.61	173221.2	
sp|A6NHX0|CAST2_HUMAN	A6NHX0	CAST2_HUMAN	CASTOR2	329	Homo sapiens	1:Experimental evidence at protein level	Cytosolic arginine sensor for mTORC1 subunit 2	1.0	0.999	3	4	4	4	0	1	2	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	1	0	0.0	16588.197	19914.785	23617.0	19732.422	5520.524	0.0	16590.758	10545.271	13768.73	0.0	16730.56	10843.352	13127.433	11038.767	6943.8003	0.0	9270.515	10635.773	7693.3276	
sp|A6NIH7|U119B_HUMAN	A6NIH7	U119B_HUMAN	UNC119B	251	Homo sapiens	1:Experimental evidence at protein level	Protein unc-119 homolog B	0.9938	0.999	2	13	13	13	2	2	2	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	18188.305	11922.311	17125.232	11744.466	15568.722	13677.091	12168.981	13285.269	20794.523	20517.527	18188.305	11922.311	17125.232	11744.466	15568.722	13677.091	12168.981	13285.269	20794.523	20517.527	
sp|A6NJ78|MET15_HUMAN	A6NJ78	MET15_HUMAN	METTL15	407	Homo sapiens	1:Experimental evidence at protein level	12S rRNA N(4)-cytidine methyltransferase METTL15	0.9996	0.999	3	6	2	6	1	1	1	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	20621.639	34221.676	38991.535	32815.926	155388.45	127928.305	114022.055	115354.766	15763.207	125415.4	20621.639	33049.035	27032.705	29881.809	111669.41	127928.305	114022.055	115354.766	15763.207	125415.4	
sp|A6NMY6|AXA2L_HUMAN	A6NMY6	AXA2L_HUMAN	ANXA2P2	339	Homo sapiens	5:Protein uncertain	Putative annexin A2-like protein	0.9998	0.9986	23	1	1	1457	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	145	158	126	186	161	145	152	132	135	117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A6NNZ2|TBB8B_HUMAN	A6NNZ2	TBB8B_HUMAN	TUBB8B	444	Homo sapiens	1:Experimental evidence at protein level	Tubulin beta 8B	1.0	0.9989	10	2	2	1101	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	134	108	108	135	122	108	100	120	83	83	23353.164	15249.899	21727.395	0.0	20304.816	27119.174	16947.965	23682.21	23859.186	19924.508	20437.89	15249.899	21727.395	0.0	20304.816	27119.174	16947.965	23682.21	23859.186	19924.508	
sp|A6ZKI3|RTL8C_HUMAN	A6ZKI3	RTL8C_HUMAN	RTL8C	113	Homo sapiens	1:Experimental evidence at protein level	Retrotransposon Gag-like protein 8C	1.0	0.999	2	23	10	23	3	3	3	2	2	2	1	2	3	2	1	1	1	1	1	1	1	1	1	1	3	3	3	2	2	2	1	2	3	2	51605.125	64298.375	54878.266	58453.188	66114.84	51764.53	41897.742	54399.426	63367.008	64229.777	41382.484	46864.82	42804.74	44167.816	48435.133	36857.777	25216.58	39668.438	50700.348	48757.848	
sp|A7E2V4|ZSWM8_HUMAN	A7E2V4	ZSWM8_HUMAN	ZSWIM8	1837	Homo sapiens	1:Experimental evidence at protein level	Zinc finger SWIM domain-containing protein 8	1.0	0.999	6	17	17	17	0	4	3	3	3	0	1	1	1	1	0	4	3	3	3	0	1	1	1	1	0	4	3	3	3	0	1	1	1	1	61636.75	71401.93	42495.004	69909.695	77313.85	48236.81	39857.59	68503.6	51098.633	15769.883	18463.29	19918.254	20935.475	18860.693	28430.05	16413.693	16805.406	17997.79	24582.0	14477.656	
sp|A8CG34|P121C_HUMAN	A8CG34	P121C_HUMAN	POM121C	1229	Homo sapiens	1:Experimental evidence at protein level	Nuclear envelope pore membrane protein POM 121C	1.0	0.999	5	14	0	14	1	2	1	2	1	1	2	1	1	2	0	0	0	0	0	0	0	0	0	0	1	2	1	2	1	1	2	1	1	2	35852.113	1388303.6	1463310.5	25767.23	1445873.9	1766824.9	1859429.0	1712598.8	1709140.4	1628409.2	666276.9	627222.9	559356.3	599019.6	606429.7	672282.2	797765.25	662627.06	556422.6	588998.1	sp|Q96HA1|P121A_HUMAN
sp|A8MWD9|RUXGL_HUMAN	A8MWD9	RUXGL_HUMAN	SNRPGP15	76	Homo sapiens	5:Protein uncertain	Putative small nuclear ribonucleoprotein G-like protein 15	1.0	0.999	3	36	0	36	4	4	3	4	4	4	3	3	4	3	0	0	0	0	0	0	0	0	0	0	4	4	3	4	4	4	3	3	4	3	230354.69	119710.88	116560.75	116449.41	148013.5	164411.69	154584.22	131204.27	157867.62	144791.61	105246.75	72275.6	68825.516	52630.555	77943.71	82266.29	92093.945	54748.543	75403.31	84209.2	sp|P62308|RUXG_HUMAN
sp|A8MXV4|NUD19_HUMAN	A8MXV4	NUD19_HUMAN	NUDT19	375	Homo sapiens	1:Experimental evidence at protein level	Acyl-coenzyme A diphosphatase NUDT19	1.0	0.999	6	22	22	22	2	3	2	1	3	0	2	2	3	4	2	3	2	1	3	0	2	2	3	4	2	3	2	1	3	0	2	2	3	4	60497.977	52203.527	59726.984	53329.93	64269.19	28448.176	33537.293	62573.164	58946.445	75472.14	19490.648	25240.184	18816.342	23070.549	20150.4	16422.186	21304.975	17969.477	20161.643	24588.738	
sp|A9YTQ3|AHRR_HUMAN	A9YTQ3	AHRR_HUMAN	AHRR	697	Homo sapiens	1:Experimental evidence at protein level	Aryl hydrocarbon receptor repressor	0.9961	0.999	2	6	6	6	1	1	0	2	0	1	0	0	1	0	1	1	0	2	0	1	0	0	1	0	1	1	0	2	0	1	0	0	1	0	75517.24	72732.375	61747.64	69037.93	76110.12	48401.332	64259.92	76078.42	69990.92	54847.992	59315.645	65006.945	61747.64	69037.93	69035.23	48401.332	64259.92	60202.605	62334.32	50611.668	
sp|B2RTY4|MYO9A_HUMAN	B2RTY4	MYO9A_HUMAN	MYO9A	2548	Homo sapiens	1:Experimental evidence at protein level	Unconventional myosin-IXa	0.9986	0.9983	4	4	4	5	0	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	1	1	1	0	0.0	0.0	30407.887	14501.729	0.0	0.0	22679.803	0.0	8584.617	0.0	0.0	0.0	20799.494	11699.314	0.0	0.0	18297.002	0.0	38600.44	0.0	
sp|B7ZAQ6|GPHRA_HUMAN	B7ZAQ6	GPHRA_HUMAN	GPHRA	455	Homo sapiens	1:Experimental evidence at protein level	Golgi pH regulator A	1.0	0.999	2	7	0	7	1	1	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	2	23135.2	34378.637	22560.031	8861.521	0.0	4751.857	22039.277	8863.478	10108.116	30614.684	10885.887	12364.712	12105.414	9583.845	0.0	5362.5615	8247.275	9585.961	10932.053	15797.507	sp|P0CG08|GPHRB_HUMAN
sp|C4AMC7|WASH3_HUMAN	C4AMC7	WASH3_HUMAN	WASH3P	463	Homo sapiens	1:Experimental evidence at protein level	Putative WAS protein family homolog 3	1.0	0.999	7	43	0	43	3	3	5	6	5	5	4	3	4	5	0	0	0	0	0	0	0	0	0	0	3	3	5	6	5	5	4	3	4	5	178276.19	189736.03	159491.17	175436.67	125338.625	180902.14	131091.58	163338.2	100324.93	174087.67	84985.195	54638.24	69173.086	69050.85	59787.223	64071.664	72069.76	61069.105	58918.207	47338.53	sp|Q6VEQ5|WASH2_HUMAN
sp|C9JLW8|MCRI1_HUMAN	C9JLW8	MCRI1_HUMAN	MCRIP1	97	Homo sapiens	1:Experimental evidence at protein level	Mapk-regulated corepressor-interacting protein 1	1.0	0.999	3	29	29	29	4	2	3	2	3	2	3	3	5	2	4	2	3	2	3	2	3	3	5	2	4	2	3	2	3	2	3	3	5	2	66150.58	56891.28	56710.29	55893.55	69308.93	88300.375	109656.21	72527.39	91585.06	82072.67	29194.535	25591.846	24887.137	25199.283	31248.24	39308.49	33781.695	32616.807	28648.963	25676.717	
sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	2078	Homo sapiens	1:Experimental evidence at protein level	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1.0	0.999	5	108	0	108	10	11	10	12	10	12	9	12	12	10	0	0	0	0	0	0	0	0	0	0	10	11	10	12	10	12	9	12	12	10	682284.56	640106.8	550288.9	537829.06	576025.6	662386.75	669917.1	647144.8	652746.7	703391.8	201861.98	197514.22	182310.16	177425.7	188855.77	220584.19	219387.14	208921.45	189664.98	208614.66	sp|Q13765|NACA_HUMAN
